State,County,City,Date,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
Arizona,Maricopa,Phoenix,6/7/2006,13.5,0.047417,2.916667,0.129167
Arizona,Maricopa,Phoenix,6/8/2006,17.25,0.033958,3.166667,0.183333
Arizona,Maricopa,Phoenix,6/9/2006,16.75,0.030792,3.333333,0.145833
Arizona,Maricopa,Phoenix,6/10/2006,17.333333,0.0295,3.583333,0.1625
Arizona,Maricopa,Phoenix,6/11/2006,17.25,0.037125,3.583333,0.183333
Arizona,Maricopa,Phoenix,6/12/2006,26.086957,0.022417,4.521739,0.413043
Arizona,Maricopa,Phoenix,6/13/2006,22.65,0.028667,3.304348,0.395652
Arizona,Maricopa,Phoenix,6/14/2006,19.916667,0.032542,0.791667,0.370833
Arizona,Maricopa,Phoenix,6/15/2006,22.791667,0.040417,1.666667,0.470833
Arizona,Maricopa,Phoenix,6/16/2006,22.083333,0.036625,0.541667,0.416667
Arizona,Maricopa,Phoenix,6/17/2006,22.333333,0.034333,0.5,0.6125
Arizona,Maricopa,Phoenix,6/18/2006,22.583333,0.042,0.166667,0.533333
Arizona,Maricopa,Phoenix,6/19/2006,21.416667,0.035083,0.125,0.466667
Arizona,Maricopa,Phoenix,6/20/2006,24,0.03225,0.956522,0.447826
Arizona,Maricopa,Phoenix,6/21/2006,22.375,0.030958,1.833333,0.475
Arizona,Maricopa,Phoenix,6/22/2006,17.478261,0.028292,1.26087,0.381818
Arizona,Maricopa,Phoenix,6/23/2006,15.75,0.031167,1.25,0.391667
Arizona,Maricopa,Phoenix,6/24/2006,15.458333,0.039625,0.708333,0.3875
Arizona,Maricopa,Phoenix,6/25/2006,14.583333,0.044375,0.666667,0.395833
Arizona,Maricopa,Phoenix,6/26/2006,14.391304,0.052417,0.608696,0.334783
Arizona,Maricopa,Phoenix,6/27/2006,15.142857,0.044208,0.304348,0.321739
Arizona,Maricopa,Phoenix,6/28/2006,13.5,0.055042,0.25,0.3375
Arizona,Maricopa,Phoenix,6/29/2006,12.958333,0.05175,0.333333,0.345833
Arizona,Maricopa,Phoenix,6/30/2006,16.458333,0.051792,0.541667,0.395833
Arizona,Maricopa,Phoenix,7/1/2006,15.25,0.058333,0.583333,0.433333
Arizona,Maricopa,Phoenix,7/2/2006,8.75,0.050583,0.125,0.325
Arizona,Maricopa,Phoenix,7/3/2006,10.26087,0.04575,0.130435,0.330435
Arizona,Maricopa,Phoenix,7/4/2006,6.75,0.04225,0.541667,0.291667
Arizona,Maricopa,Phoenix,7/5/2006,14.541667,0.037125,0,0.433333
Arizona,Maricopa,Phoenix,7/6/2006,21.083333,0.044917,0.625,0.533333
Arizona,Maricopa,Phoenix,7/7/2006,10.875,0.040917,0.041667,0.304167
Arizona,Maricopa,Phoenix,7/8/2006,9.625,0.05175,0.5,0.291667
